A,B,C,D,Distractor 1,,Distractor 2,,Distractor 3,
now,later,easy,difficult,easy,early,easy,fun,easy,simple
gloves,hands,socks,feet,socks,eyes,socks,ears,socks,legs
lettuce,green,strawberry,red,strawberry,orange,strawberry,brown,strawberry,delicious
fire,hot,snow,frozen,snow,yellow,snow,warm,snow,tasty
India,country,German,language,German,nation,German,family,German,food
reward,good,punishment,bad,punishment,wonderful,punishment,pretty,punishment,funny
glasses,see,cane,walk,cane,understand,cane,sleep,cane,eat
interesting,fascinating,uncommon,rare,uncommon,everyday,uncommon,boring,uncommon,late
spend,save,give,receive,give,watch,give,say,give,ask
bakery,bread,café,coffee,café,water,café,cake,café,salad
out,in,below,above,below,near,below,before,below,after
actor,actress,waiter,waitress,waiter,restaurant,waiter,chef,waiter,waiting
rage,emotion,Thanksgiving,holiday,Thanksgiving,job,Thanksgiving,meal,Thanksgiving,clothing
jazz,music,geometry,math,geometry,hobby,geometry,shape,geometry,animal
freezer,cold,stove,hot,stove,serve,stove,eat,stove,shop
mother,female,father,male,father,angry,father,kind,father,thin
scene,play,chapter,book,chapter,song,chapter,drama,chapter,theater
priest,church,nurse,hospital,nurse,circus,nurse,apartment,nurse,post office
race,competition,party,celebration,party,career,party,dance,party,game
octagon,eight,triangle,three,triangle,four,triangle,one,triangle,nine
key,unlock,scale,protect,scale,answer,scale,wash,scale,weight
cub,bear,kitten,cat,kitten,animal,kitten,young,kitten,whale
saw,cut,ruler,measure,ruler,earn,ruler,take,ruler,cook
cello,instrument,male,gender,male,man,male,envelope,male,job
before,after,under,over,under,sometimes,under,around,under,often
bow,arrow,gun,bullet,gun,weapon,gun,danger,gun,item
magenta,color,sweater,clothing,sweater,winter,sweater,shoe,sweater,sport
carefree,worries,certain,doubt,certain,respect,certain,hair,certain,money
athlete,team,musician,band,musician,play,musician,house,musician,family
June,July,Monday,Tuesday,Monday,August,Monday,Sunday,Monday,December
